day,hour,duration
0,0.0,25
0,0.25,25
0,0.5,25
0,0.75,25
0,1.0,24
0,1.25,24
0,1.5,24
0,1.75,24
0,2.0,24
0,2.25,24
0,2.5,24
0,2.75,24
0,3.0,24
0,3.25,24
0,3.5,23
0,3.75,23
0,4.0,23
0,4.25,23
0,4.5,22
0,4.75,23
0,5.0,24
0,5.25,25
0,5.5,28
0,5.75,29
0,6.0,31
0,6.25,32
0,6.5,33
0,6.75,34
0,7.0,36
0,7.25,39
0,7.5,41
0,7.75,39
0,8.0,38
0,8.25,37
0,8.5,36
0,8.75,35
0,9.0,33
0,9.25,32
0,9.5,30
0,9.75,30
0,10.0,30
0,10.25,30
0,10.5,30
0,10.75,30
0,11.0,30
0,11.25,30
0,11.5,31
0,11.75,31
0,12.0,31
0,12.25,31
0,12.5,30
0,12.75,31
0,13.0,30
0,13.25,31
0,13.5,31
0,13.75,31
0,14.0,31
0,14.25,32
0,14.5,31
0,14.75,31
0,15.0,31
0,15.25,32
0,15.5,32
0,15.75,31
0,16.0,31
0,16.25,31
0,16.5,31
0,16.75,32
0,17.0,32
0,17.25,32
0,17.5,32
0,17.75,31
0,18.0,30
0,18.25,29
0,18.5,29
0,18.75,28
0,19.0,27
0,19.25,27
0,19.5,27
0,19.75,28
0,20.0,27
0,20.25,27
0,20.5,27
0,20.75,27
0,21.0,27
0,21.25,27
0,21.5,27
0,21.75,26
0,22.0,26
0,22.25,26
0,22.5,25
0,22.75,25
0,23.0,25
0,23.25,25
0,23.5,25
0,23.75,25
1,0.0,25
1,0.25,25
1,0.5,24
1,0.75,25
1,1.0,25
1,1.25,25
1,1.5,25
1,1.75,24
1,2.0,24
1,2.25,25
1,2.5,24
1,2.75,25
1,3.0,24
1,3.25,24
1,3.5,23
1,3.75,23
1,4.0,23
1,4.25,23
1,4.5,22
1,4.75,23
1,5.0,24
1,5.25,25
1,5.5,28
1,5.75,31
1,6.0,34
1,6.25,35
1,6.5,35
1,6.75,35
1,7.0,37
1,7.25,40
1,7.5,40
1,7.75,40
1,8.0,40
1,8.25,40
1,8.5,39
1,8.75,37
1,9.0,35
1,9.25,35
1,9.5,36
1,9.75,35
1,10.0,34
1,10.25,33
1,10.5,33
1,10.75,33
1,11.0,33
1,11.25,33
1,11.5,32
1,11.75,31
1,12.0,30
1,12.25,31
1,12.5,31
1,12.75,31
1,13.0,31
1,13.25,31
1,13.5,32
1,13.75,31
1,14.0,31
1,14.25,32
1,14.5,32
1,14.75,32
1,15.0,32
1,15.25,32
1,15.5,32
1,15.75,32
1,16.0,33
1,16.25,34
1,16.5,34
1,16.75,35
1,17.0,36
1,17.25,37
1,17.5,37
1,17.75,35
1,18.0,34
1,18.25,32
1,18.5,30
1,18.75,28
1,19.0,28
1,19.25,28
1,19.5,28
1,19.75,27
1,20.0,27
1,20.25,27
1,20.5,27
1,20.75,27
1,21.0,27
1,21.25,27
1,21.5,27
1,21.75,27
1,22.0,27
1,22.25,26
1,22.5,26
1,22.75,25
1,23.0,25
1,23.25,25
1,23.5,25
1,23.75,25
2,0.0,25
2,0.25,25
2,0.5,25
2,0.75,25
2,1.0,25
2,1.25,24
2,1.5,24
2,1.75,24
2,2.0,24
2,2.25,25
2,2.5,25
2,2.75,24
2,3.0,24
2,3.25,23
2,3.5,23
2,3.75,23
2,4.0,23
2,4.25,23
2,4.5,23
2,4.75,24
2,5.0,24
2,5.25,25
2,5.5,29
2,5.75,32
2,6.0,33
2,6.25,36
2,6.5,36
2,6.75,35
2,7.0,37
2,7.25,41
2,7.5,41
2,7.75,40
2,8.0,40
2,8.25,40
2,8.5,40
2,8.75,38
2,9.0,34
2,9.25,34
2,9.5,33
2,9.75,33
2,10.0,32
2,10.25,33
2,10.5,33
2,10.75,33
2,11.0,32
2,11.25,33
2,11.5,33
2,11.75,32
2,12.0,32
2,12.25,32
2,12.5,32
2,12.75,32
2,13.0,32
2,13.25,32
2,13.5,32
2,13.75,32
2,14.0,32
2,14.25,32
2,14.5,33
2,14.75,33
2,15.0,33
2,15.25,34
2,15.5,34
2,15.75,34
2,16.0,34
2,16.25,35
2,16.5,36
2,16.75,37
2,17.0,40
2,17.25,41
2,17.5,41
2,17.75,40
2,18.0,36
2,18.25,33
2,18.5,31
2,18.75,29
2,19.0,29
2,19.25,28
2,19.5,28
2,19.75,28
2,20.0,27
2,20.25,27
2,20.5,27
2,20.75,27
2,21.0,27
2,21.25,27
2,21.5,27
2,21.75,27
2,22.0,26
2,22.25,26
2,22.5,26
2,22.75,26
2,23.0,25
2,23.25,25
2,23.5,24
2,23.75,25
3,0.0,25
3,0.25,25
3,0.5,25
3,0.75,24
3,1.0,24
3,1.25,24
3,1.5,24
3,1.75,25
3,2.0,24
3,2.25,24
3,2.5,23
3,2.75,24
3,3.0,23
3,3.25,23
3,3.5,23
3,3.75,22
3,4.0,22
3,4.25,22
3,4.5,22
3,4.75,22
3,5.0,23
3,5.25,25
3,5.5,28
3,5.75,30
3,6.0,32
3,6.25,33
3,6.5,34
3,6.75,35
3,7.0,36
3,7.25,38
3,7.5,39
3,7.75,38
3,8.0,37
3,8.25,38
3,8.5,38
3,8.75,37
3,9.0,35
3,9.25,35
3,9.5,35
3,9.75,33
3,10.0,33
3,10.25,34
3,10.5,35
3,10.75,35
3,11.0,35
3,11.25,36
3,11.5,36
3,11.75,35
3,12.0,34
3,12.25,34
3,12.5,34
3,12.75,34
3,13.0,34
3,13.25,35
3,13.5,35
3,13.75,34
3,14.0,35
3,14.25,36
3,14.5,36
3,14.75,36
3,15.0,36
3,15.25,36
3,15.5,36
3,15.75,36
3,16.0,36
3,16.25,38
3,16.5,39
3,16.75,40
3,17.0,41
3,17.25,42
3,17.5,41
3,17.75,40
3,18.0,37
3,18.25,35
3,18.5,32
3,18.75,29
3,19.0,28
3,19.25,28
3,19.5,28
3,19.75,28
3,20.0,28
3,20.25,28
3,20.5,28
3,20.75,28
3,21.0,28
3,21.25,28
3,21.5,28
3,21.75,27
3,22.0,27
3,22.25,26
3,22.5,26
3,22.75,26
3,23.0,26
3,23.25,26
3,23.5,26
3,23.75,25
4,0.0,25
4,0.25,25
4,0.5,25
4,0.75,24
4,1.0,24
4,1.25,24
4,1.5,24
4,1.75,24
4,2.0,24
4,2.25,25
4,2.5,25
4,2.75,25
4,3.0,25
4,3.25,24
4,3.5,23
4,3.75,23
4,4.0,22
4,4.25,23
4,4.5,23
4,4.75,23
4,5.0,23
4,5.25,25
4,5.5,26
4,5.75,27
4,6.0,28
4,6.25,29
4,6.5,29
4,6.75,29
4,7.0,30
4,7.25,32
4,7.5,33
4,7.75,32
4,8.0,32
4,8.25,32
4,8.5,33
4,8.75,32
4,9.0,31
4,9.25,31
4,9.5,31
4,9.75,32
4,10.0,31
4,10.25,32
4,10.5,33
4,10.75,34
4,11.0,35
4,11.25,35
4,11.5,36
4,11.75,36
4,12.0,37
4,12.25,38
4,12.5,38
4,12.75,37
4,13.0,37
4,13.25,38
4,13.5,39
4,13.75,40
4,14.0,42
4,14.25,43
4,14.5,43
4,14.75,44
4,15.0,44
4,15.25,43
4,15.5,43
4,15.75,43
4,16.0,44
4,16.25,45
4,16.5,46
4,16.75,46
4,17.0,47
4,17.25,48
4,17.5,48
4,17.75,46
4,18.0,45
4,18.25,43
4,18.5,40
4,18.75,36
4,19.0,33
4,19.25,30
4,19.5,29
4,19.75,28
4,20.0,28
4,20.25,28
4,20.5,28
4,20.75,28
4,21.0,28
4,21.25,28
4,21.5,28
4,21.75,28
4,22.0,27
4,22.25,27
4,22.5,27
4,22.75,26
4,23.0,26
4,23.25,26
4,23.5,26
4,23.75,26
5,0.0,25
5,0.25,25
5,0.5,26
5,0.75,26
5,1.0,26
5,1.25,26
5,1.5,25
5,1.75,25
5,2.0,25
5,2.25,26
5,2.5,25
5,2.75,25
5,3.0,25
5,3.25,25
5,3.5,25
5,3.75,24
5,4.0,24
5,4.25,24
5,4.5,24
5,4.75,24
5,5.0,24
5,5.25,24
5,5.5,24
5,5.75,24
5,6.0,23
5,6.25,23
5,6.5,24
5,6.75,24
5,7.0,24
5,7.25,25
5,7.5,25
5,7.75,25
5,8.0,25
5,8.25,26
5,8.5,26
5,8.75,26
5,9.0,27
5,9.25,28
5,9.5,29
5,9.75,32
5,10.0,32
5,10.25,35
5,10.5,40
5,10.75,41
5,11.0,42
5,11.25,43
5,11.5,45
5,11.75,47
5,12.0,48
5,12.25,50
5,12.5,49
5,12.75,48
5,13.0,47
5,13.25,48
5,13.5,48
5,13.75,48
5,14.0,50
5,14.25,50
5,14.5,49
5,14.75,49
5,15.0,48
5,15.25,47
5,15.5,47
5,15.75,45
5,16.0,44
5,16.25,44
5,16.5,44
5,16.75,42
5,17.0,43
5,17.25,44
5,17.5,43
5,17.75,41
5,18.0,40
5,18.25,39
5,18.5,37
5,18.75,35
5,19.0,34
5,19.25,32
5,19.5,31
5,19.75,29
5,20.0,29
5,20.25,29
5,20.5,29
5,20.75,29
5,21.0,29
5,21.25,28
5,21.5,28
5,21.75,28
5,22.0,28
5,22.25,27
5,22.5,27
5,22.75,26
5,23.0,26
5,23.25,26
5,23.5,26
5,23.75,26
6,0.0,26
6,0.25,26
6,0.5,26
6,0.75,26
6,1.0,25
6,1.25,25
6,1.5,25
6,1.75,25
6,2.0,25
6,2.25,25
6,2.5,25
6,2.75,25
6,3.0,25
6,3.25,25
6,3.5,24
6,3.75,24
6,4.0,24
6,4.25,24
6,4.5,23
6,4.75,23
6,5.0,23
6,5.25,23
6,5.5,23
